id,product_id,disliked_id
242,741,5
243,741,13
244,741,0
245,761,2
246,761,0
247,761,13
248,782,2
249,782,0
250,782,13
251,784,2
252,784,0
253,784,13
254,788,2
255,788,13
256,788,0
257,788,5
258,801,2
259,801,4
260,801,13
261,804,0
262,804,2
263,806,2
264,806,13
265,811,2
266,811,0
267,811,13
268,827,2
269,827,0
270,827,13
271,828,2
272,828,0
273,828,13
274,836,2
275,836,0
276,836,13
277,836,5
278,839,2
279,839,4
280,839,5
281,839,13
282,839,0
283,848,2
284,848,13
285,848,0
286,850,2
287,850,0
288,850,5
289,850,13
290,855,2
291,855,0
292,855,15
293,855,13
294,856,2
295,856,0
296,856,13
297,858,2
298,859,2
299,859,17
300,859,13
301,862,2
302,862,0
303,864,2
304,864,0
305,870,2
306,870,0
307,889,2
308,890,2
309,890,5
310,890,13
311,890,0
312,891,0
313,891,2
314,891,13
315,892,2
316,892,0
317,895,2
318,896,2
319,896,13
320,896,0
321,897,2
322,897,0
323,900,2
324,900,13
325,900,0
326,901,2
327,901,5
328,901,13
329,901,0
330,913,2
331,913,0
332,914,2
333,914,0
334,914,14
335,915,2
336,931,0
337,931,2
338,931,13
339,932,2
340,932,0
341,933,2
342,934,2
343,934,0
344,935,0
345,935,2
346,935,13
347,942,2
348,942,0
349,942,13
350,943,2
351,943,0
352,944,2
353,944,0
354,945,2
355,953,2
356,953,17
357,953,13
358,954,2
359,954,13
360,954,0
361,955,2
362,955,13
363,958,2
364,958,6
365,958,13
366,958,0
367,972,13
368,972,2
369,972,0
370,974,2
371,974,13
372,974,0
373,977,2
374,977,13
375,981,13
376,981,2
377,981,0
378,984,2
379,984,7
380,993,2
381,993,7
382,995,2
383,1005,0
384,1006,2
385,1006,13
386,1006,0
387,1028,2
388,1028,0
389,1028,6
390,1036,2
391,1036,0
392,1047,2
393,1098,2
394,1098,0
395,1100,2
396,1100,0
397,1102,2
398,1105,0
399,1105,13
400,1105,2
401,1106,0
402,1106,2
403,1106,4
404,1106,13
405,1111,2
406,1112,0
407,1112,5
408,1112,4
409,1112,2
410,1112,13
411,1114,0
412,1114,2
413,1114,13
414,1122,13
415,1122,0
416,1122,2
417,1123,2
418,1123,0
419,1126,2
420,1126,0
421,1126,13
422,1127,0
423,1127,5
424,1127,4
425,1127,2
426,1127,13
427,1128,0
428,1128,13
429,1128,2
430,1129,2
431,1129,0
432,1129,13
433,1132,0
434,1132,2
435,1132,5
436,1132,4
437,1145,2
438,1145,0
439,1145,13
440,1153,2
441,1153,0
442,1154,0
443,1154,2
444,1154,5
445,1154,4
446,1156,0
447,1156,2
448,1159,0
449,1159,13
450,1159,2
451,1160,2
452,1160,0
453,1160,13
454,1163,2
455,1163,0
456,1163,13
457,1164,2
458,1164,0
459,1164,13
460,1165,2
461,1165,0
462,1165,13
463,1167,0
464,1167,2
465,1167,4
466,1167,13
467,1173,2
468,1173,0
469,1182,0
470,1182,13
471,1182,2
472,1188,2
473,1206,2
474,1207,16
475,1207,14
476,1207,0
477,1229,0
478,1229,13
479,1242,13
480,1242,0
481,1249,0
482,1249,13
483,1256,2
484,1258,2
485,1258,13
486,1264,0
487,1264,13
488,1303,2
489,1325,2
490,1325,13
491,1325,0
492,1353,0
493,1353,5
494,1353,13
495,1354,16
496,1354,0
497,1360,0
498,1368,2
499,1368,13
500,1368,0
501,1369,0
502,1375,7
503,1380,2
504,1384,2
505,1386,4
506,1386,5
507,1386,2
508,1387,2
509,1387,6
510,1388,2
511,1388,4
512,1388,5
513,1388,0
514,1397,2
515,1397,0
516,1397,13
517,1398,2
518,1398,0
519,1398,13
520,1399,2
521,1399,0
522,1399,13
523,1407,2
524,1408,2
525,1408,13
526,1408,0
527,1409,2
528,1409,13
529,1411,2
530,1411,13
531,1418,2
532,1418,0
533,1418,13
534,1426,2
535,1426,7
536,1426,15
537,1427,2
538,1428,2
539,1429,2
540,1430,2
541,1430,14
542,1431,2
543,1432,2
544,1436,2
545,1436,13
546,1436,11
547,1436,0
548,1436,15
549,1436,6
550,1436,4
551,1439,2
552,1439,13
553,1439,0
554,1440,0
555,1444,2
556,1444,13
557,1444,0
558,1444,16
559,1446,0
560,1446,2
561,1447,2
562,1447,0
563,1447,13
564,1459,2
565,1461,2
566,1461,5
567,1462,2
568,1462,5
569,1464,2
570,1464,4
571,1464,5
572,1464,0
573,1466,0
574,1466,13
575,1466,2
576,1466,5
577,1467,2
578,1467,13
579,1467,0
580,1476,0
581,1476,13
