id,cat_1,cat_2,cat_3,cat_4
213,유제품,우유,가공우유,딸기우유
214,유제품,우유,가공우유,바나나우유
215,유제품,우유,가공우유,초코우유
216,유제품,우유,가공우유,커피우유
217,유제품,우유,기능성우유,기능성우유
218,유제품,우유,일반우유,고칼슘우유
219,유제품,우유,일반우유,락토프리우유
220,유제품,우유,일반우유,유기농우유
221,유제품,우유,일반우유,일반우유
222,유제품,우유,일반우유,저지방우유
223,유제품,치즈,가루치즈,가루치즈
224,유제품,치즈,기타자연치즈,기타자연치즈
225,유제품,치즈,까망베르치즈,까망베르치즈
226,유제품,치즈,리코타치즈,리코타치즈
227,유제품,치즈,모짜렐라치즈,모짜렐라치즈
228,유제품,치즈,생치즈,생치즈
229,유제품,치즈,스낵치즈,스낵치즈
230,유제품,치즈,체다치즈,체다치즈
231,유제품,치즈,치즈가루,치즈가루
232,유제품,치즈,크림치즈,크림치즈
233,음료,과일음료,어린이음료,어린이음료
234,음료,과채음료,과일음료,과일음료
235,음료,과채음료,과일음료,어린이음료
236,음료,과채음료,과채혼합음료,과채혼합음료
237,음료,과채음료,어린이음료,과채혼합음료
238,음료,과채음료,어린이음료,어린이음료
239,음료,과채음료,원액,원액
240,음료,과채음료,채소음료,채소음료
241,음료,과채음료,파우치음료,파우치음료
242,음료,기능성음료,기타,기타
243,음료,기능성음료,기타기능성음료,기타기능성음료
244,음료,기능성음료,비타민/에너지음료,비타민/에너지음료
245,음료,기능성음료,숙취해소음료,숙취해소음료
246,음료,기능성음료,스포츠음료,스포츠음료
247,음료,기능성음료,식이섬유음료,식이섬유음료
248,음료,기능성음료,한방음료,한방음료
249,음료,기타,기타,기타
250,음료,냉장음료,냉장곡물견과음료,냉장곡물견과음료
251,음료,냉장음료,코코넛워터,코코넛워터
252,음료,두유,기능성두유,기능성두유
253,음료,두유,일반두유,일반두유
254,음료,생수,일반생수,어린이음료
255,음료,생수,일반생수,일반생수
256,음료,욕실주거세제,다목적주방세제,다목적주방세제
257,음료,차류,과실차,과실차
258,음료,차류,녹차/홍차,녹차/홍차
259,음료,차음료,기타차음료,기타차음료
260,음료,차음료,일반,일반
261,음료,차음료,일반차음료,일반차음료
262,음료,차음료,전통차음료,전통차음료
263,음료,커피음료,커피음료,커피음료
264,음료,탄산수,Flavor탄산수,Flavor탄산수
265,음료,탄산수,플레인탄산수,플레인탄산수
266,음료,탄산음료,무알콜맥주,무알콜맥주
267,음료,탄산음료,사이다,사이다
268,음료,탄산음료,콜라,콜라
269,음료,탄산음료,혼합탄산,혼합탄산
270,이/미용,레저취미,반려견간식,반려견간식
