cat_1,cat_2,cat_3,cat_4
음료,우유,가공우유,가공우유
음료,우유,기능성우유,기능성우유
음료,장류,간장,간장
음료,전통주,기타전통주,기타전통주
음료,전통주,일본술,일본술
음료,차류,과실차,과실차
음료,차류,녹차/홍차,녹차/홍차
음료,차음료,기타차음료,기타차음료
음료,차음료,일반,일반
음료,차음료,일반차음료,일반차음료
음료,차음료,전통차음료,전통차음료
음료,커피음료,커피음료,커피음료
음료,탄산수,Flavor탄산수,Flavor탄산수
음료,탄산수,플레인탄산수,플레인탄산수
음료,탄산수,플렝니탄산수,플렝니탄산수
음료,탄산음료,무알콜맥주,무알콜맥주
음료,탄산음료,사이다,사이다
음료,탄산음료,콜라,콜라
음료,탄산음료,혼합탄산,혼합탄산
음료,탄산음료,홉합탄산,홉합탄산
이/미용,레저취미,반려견간식,반려견간식
이/미용,면봉/화장솜,면봉/화장솜,면봉/화장솜
이/미용,생수,일반생수,일반생수
이/미용,캔디,기능성캔디,기능성캔디
이/미용,화장품,메이크업세트,메이크업세트
주류,기타주류,럼,럼
주류,기타주류,보드카,보드카
주류,기타주류,샴페인,샴페인
주류,기타주류,요리주,요리주
주류,기타주류,위스키,위스키
주류,기타주류,진,진
주류,기타주류,칵테일,칵테일
주류,맥주,국내맥주,국내맥주
주류,맥주,무알콜맥주,무알콜맥주
주류,맥주,수입맥주,수입맥주
주류,소주,증류식소주,증류식소주
주류,와인,레드와인,레드와인
주류,와인,로제와인,로제와인
주류,와인,스파클링와인,스파클링와인
주류,와인,화이트와인,화이트와인
주류,전통주,고량주,고량주
주류,전통주,과실주,과실주
주류,전통주,막걸리,막걸리
주류,전통주,사케,사케
주류,전통주,청주,청주
커피차,분말차,과실절임차,매실차
커피차,분말차,과실절임차,모과차
커피차,분말차,과실절임차,유자차
커피차,분말차,기타,견과차
커피차,분말차,기타,계피차
커피차,분말차,기타,기능성차
커피차,분말차,기타,기타
커피차,분말차,기타,노니차
커피차,분말차,기타,단백질쉐이크
커피차,분말차,기타,도라지차
커피차,분말차,기타,마차
커피차,분말차,기타,콩차
커피차,분말차,꿀차,꿀차
커피차,분말차,녹차,녹차
커피차,분말차,녹차,녹차/현미녹차
커피차,분말차,녹차/현미녹차,녹차/현미녹차
커피차,분말차,둥굴레차,둥굴레차
커피차,분말차,마테차,마테차
커피차,분말차,메밀차,메밀차
커피차,분말차,밀크티,밀크치
커피차,분말차,밀크티,밀크티
커피차,분말차,보리차,보리차
커피차,분말차,뿌리차,뿌리차
커피차,분말차,생강차,생강차
커피차,분말차,아이스티,아이스티
커피차,분말차,옥수수차,옥수수차
커피차,분말차,우엉차,우엉차
커피차,분말차,잎차,결명자차
커피차,분말차,잎차,그라비올라차
커피차,분말차,잎차,기타
커피차,분말차,잎차,라벤더
커피차,분말차,잎차,모링가차
커피차,분말차,잎차,보이차
커피차,분말차,잎차,뽕잎차
커피차,분말차,잎차,새싹보리
커피차,분말차,잎차,자스민
커피차,분말차,잎차,히비스커스
커피차,분말차,전통차,대추차
커피차,분말차,전통차,식혜
커피차,분말차,전통차,쌍화차
커피차,분말차,전통차,한차
커피차,분말차,커피,기능성차
커피차,분말차,커피,라떼
커피차,분말차,커피,마키아또
커피차,분말차,커피,모카
커피차,분말차,커피,아메리카노
커피차,분말차,커피,원두커피
커피차,분말차,커피,인스턴트커피
커피차,분말차,커피,카푸치노
커피차,분말차,커피,커피
커피차,분말차,커피,헤이즐넛
커피차,분말차,코코아/핫초코,딸기맛
커피차,분말차,코코아/핫초코,라떼
커피차,분말차,코코아/핫초코,바닐라맛
커피차,분말차,코코아/핫초코,초코맛
커피차,분말차,허브차,레몬밤
커피차,분말차,허브차,루이보스
커피차,분말차,허브차,얼그레이
커피차,분말차,허브차,쟈스민
커피차,분말차,허브차,캐모마일
커피차,분말차,허브차,페퍼민트
커피차,분말차,허브차,허브차
커피차,분말차,홍차,홍차
커피차,액상차,과실절임차,깔라만시
커피차,액상차,과실절임차,노니차
커피차,액상차,과실절임차,레몬차
커피차,액상차,과실절임차,매실차
커피차,액상차,과실절임차,모과
커피차,액상차,과실절임차,모과차
커피차,액상차,과실절임차,블루베리
커피차,액상차,과실절임차,산수유
커피차,액상차,과실절임차,석류차
커피차,액상차,과실절임차,오렌지
커피차,액상차,과실절임차,오미자차
커피차,액상차,과실절임차,유자차
커피차,액상차,과실절임차,한라봉차
커피차,액상차,기타,기타
커피차,액상차,기타,도라지차
커피차,액상차,생강차,생강차
커피차,액상차,아이스티,아이스티
커피차,액상차,전통차,대추차
커피차,액상차,전통차,쌍화차
커피차,액상차,커피,아메리카노
통조림/안주,안주,견과류,땅콩
통조림/안주,안주,견과류,아몬드
통조림/안주,안주,견과류,호두
통조림/안주,안주,견과류,혼합견과
통조림/안주,안주,냉장/냉동식품,간편요리
통조림/안주,안주,냉장/냉동식품,기타
통조림/안주,안주,냉장/냉동식품,유제품
통조림/안주,안주,수산물/건해산,쥐포/어포/육포
통조림/안주,통조림,가미통조림,스팸/햄통조림
통조림/안주,통조림,가미통조림,옥수수/반찬통조림
통조림/안주,통조림,가미통조림,참치통조림
통조림/안주,통조림,과일통조림,기타통조림
통조림/안주,통조림,과일통조림,복숭아통조림
통조림/안주,통조림,과일통조림,파인애플통조림
통조림/안주,통조림,보일드통조림,고등어통조림
통조림/안주,통조림,보일드통조림,골뱅이통조림
통조림/안주,통조림,보일드통조림,기타수산통조림
통조림/안주,통조림,보일드통조림,기타축산통조림
통조림/안주,통조림,보일드통조림,꽁치통조림
통조림/안주,통조림,보일드통조림,닭가슴살통조림
통조림/안주,통조림,보일드통조림,번데기통조림
통조림/안주,통조림,보일드통조림,참치통조림
통조림/안주,통조림,보일드통조림,채소통조림
통조림/안주,통조림,애견식품,애견습식사료
