기존,전처리
가공버터(우유)],가공버터
오곡차 100%[옥수수 35%(미국산),오곡차 
에티오피아등)],에티오피아등
2.5[(L-글루타민산나트륨,
새우맛조미유(새우:국산),새우맛조미유
 마늘(중국산 66.7%, 마늘
복합조미식품1{볼케이노맛시즈닝(싱가포르산)},복합조미식품볼케이노맛시즈닝
 구운아몬드분태 15%(미국산), 구운아몬드분태 
쇼트닝[(인도네시아산),쇼트닝
 소고기(국산 한우) 0.25%] 78%, 소고기  
마리네이션-7{콘센트레이티드스파이스혼합물(치커리:프랑스산)},마리네이션콘센트레이티드스파이스혼합물
코코아분말7.5%(싱카포르산),코코아분말
소뼈추출액93%{[사골51%(외국산:호주산,소뼈추출액
팝콘용배터[배터베이스믹스{배터용분말(밀가루:미국산),팝콘용배터
 조제겨자9%(미국산식초, 조제겨자
허쉬코코아(미국산),허쉬코코아
 젖산칼슘 0.2%, 젖산칼슘 
백설탕,백설탕
양파즙분말100,양파즙분말
 당근9.26%(국산), 당근
혼합제제2(효모,혼합제제
식염4%,식염
다이미엔엠,다이미엔엠
콩분말(백태:국내산),콩분말
홍삼성분70ml/g이상,홍삼성분mlg이상
삼겹살(독일산)70%,삼겹살
올레오레진파프리카),올레오레진파프리카
 조미파우더, 조미파우더
카레분12%{강황(인도산),카레분강황
현미(수입산),현미
에이취브이피와이큐(미국산)],에이취브이피와이큐
말토덱스트린)>,말토덱스트린
올리브오일(스페인산),올리브오일
야채볶음분말,야채볶음분말
다시베이스2,다시베이스
유산균발효분말S(락토에프파우더:중국산),유산균발효분말S
 복합인산염, 복합인산염
천연향료(라스베리향),천연향료
청양고춧가루(중국산),청양고춧가루
체다치즈분말(덴마크산-치즈분말95%,체다치즈분말
24%(가용성고형분함량1%,
커피원두100%(자메이카블루마운틴 0.5%,커피원두
 감자14%(미국산:감자, 감자
 냉동바질 11.7%(바질 100%:스페인산), 냉동바질 
애호박8%(국산),애호박
계피분말 베트남산,계피분말 베트남산
기준당도10Brix이상,기준당도Brix이상
배즙환산시4.5%),배즙환산시
치즈향),치즈향
 스테비안45S(스테비올배당체, 스테비안S
초콜릿/싱가포르산[코코아매스,초콜릿싱가포르산
농축액{(고형분 8.5%)30%,농축액
쌀미강추출물]*오징어덮밥소스(110g/소스류/살균제품):오징어(국산),쌀미강추출물오징어덮밥소스오징어
 크래미아용시즈닝E, 크래미아용시즈닝E
마가린(식물성유지),마가린
렌넷0.02%,렌넷
허니버터시럽6%{가공버터15%,허니버터시럽가공버터
콘스낵믹스 네덜란드산(볶음옥수수가루,콘스낵믹스 네덜란드산
아몬드분태5.9%(미국산),아몬드분태
메타인산나트륨비타민C,메타인산나트륨비타민C
커피원두100%(베트남산49%,커피원두
기타전분)백설탕,기타전분백설탕
복숭아농축액,복숭아농축액
튀밥10%,튀밥
볶은콩(중국산)4%,볶은콩
식염3.90%(정제염/국산),식염
옥수수전분[옥수수:외국산(러시아,옥수수전분
신안섬 보배 천일염 고운입자[국산(신안산)]1.78%,신안섬 보배 천일염 고운입자
 동결건조딸기분말(국산), 동결건조딸기분말
프랑스등]},프랑스등
부추(국산)7.57%,부추
멀티비타민미네랄믹스[해조칼슘,멀티비타민미네랄믹스
건블루베리34.6%{미국산/블루베리70%,건블루베리미국산블루베리
돼지고기(국산)30.94%,돼지고기
연육62.03%(수입산/어육,연육
로마노후레바브랜드],로마노후레바브랜드
단호박/국산).해조칼슘,단호박국산해조칼슘
 흑삼(국산)]1%, 흑삼
포도과즙농축액(포도과즙으로10%,포도과즙농축액
코코아버터[싱가포르산],코코아버터
주정**소스-정제수,주정소스정제수
소갈비12.28%[외국산(뉴질랜드∙호주∙미국 등)],소갈비
오리정육(국내산)100%,오리정육
혼합제제베리류추출물,혼합제제베리류추출물
냉동스팀고구마/중국산,냉동스팀고구마중국산
혼합메밀가루23.26%[중국산/메밀가루89%,혼합메밀가루
 L-아스코르빈산나트륨 커피고형분:0.855%, L아스코르빈산나트륨 커피고형분
제일인산칼륨),제일인산칼륨
케이디SW,케이디SW
 생강, 생강
오레가노0.19%(터키산),오레가노
 소맥 : 미국산)], 소맥  미국산
합성착향료(호두향) ·호두 2%함유,합성착향료 호두 함유
아질산나트륨(발색제) ,아질산나트륨 
구운양파분말{저감미당,구운양파분말저감미당
복합조미식품[L-글루탐산나트륨(향미증진제)],복합조미식품
 두부10.2%[대두(무농약 국산), 두부
염화마그네슘),염화마그네슘
돼지선지7.04%(국내산),돼지선지
 혼합식용유[팜올레인유(말레이시아산)59.98%, 혼합식용유
들깨강정:들깨87%,들깨강정들깨
 합성향료(녹차향), 합성향료
 주정}, 주정
밀가루49.95%(밀/무농약,밀가루
고구마다이스{고구마(국내산),고구마다이스고구마
72Brix)0.267%,Brix
유자차진액(유자즙,유자차진액
 유기농설탕 11.73%, 유기농설탕 
돈소창(돼지고기/국내산)13.63%,돈소창
어육추출액,어육추출액
칡엑기스0.1%(고형분60%),칡엑기스
 스위트콘(태국산), 스위트콘
해물15.0%{오징어13.64%(수입산),해물오징어
저당물엿,저당물엿
커피원두100%(브라질산70%,커피원두
볶은검정깨0.31%(중국산),볶은검정깨
 포도당, 포도당
투메릭분말,투메릭분말
닭고기24.59%(닭고기60%,닭고기
식물성유지(팜유,식물성유지
닭고기74.1%(국산),닭고기
콘퍼핑볼[옥수수가루(인도산66.7%,콘퍼핑볼
망고바나나씨즈닝2.57%{낙우밀(유청분말:수입산),망고바나나씨즈닝낙우밀
크랜베리맛분말{크랜베리농축분말[크랜베리농축액(미국산/크랜베리100%)37.95%],크랜베리맛분말크랜베리농축분말
닭발(국산)3.34%,닭발
 대두유{대두:외국산(아르헨티나, 대두유대두외국산
도토리전분 99.8%(국산),도토리전분 
돈소창16.19%(국내산)돈혈(국내산4.2%)떡류(쌀떡)3.6%,돈소창돈혈떡류
돼지고기90.62%(국산),돼지고기
매실농축액 3.5%(매실 100%,매실농축액 
유기농설탕 등,유기농설탕 등
식물추출발효액{정제수,식물추출발효액정제수
냉동양파,냉동양파
죠리퐁분말,죠리퐁분말
닭고기(국내산)28.25%,닭고기
창난69.80%(미국),창난
옥수수전분}],옥수수전분
 간장시즈닝분말, 간장시즈닝분말
 체코, 체코
조미씨즈닝#Q-15,조미씨즈닝Q
한우꼬리반골(국산)5.87%,한우꼬리반골
 유기농설탕(브라질산) 2.2%, 유기농설탕 
 브로콜리즙 13%(유기브로콜리 100%, 브로콜리즙 
쇠고기엑기스P,쇠고기엑기스P
글리세린지방에스테르,글리세린지방에스테르
치킨추출농축액[생닭(국내산),치킨추출농축액
 블루베리잼[설탕, 블루베리잼
칠레,칠레
 샐러리(국산), 샐러리
녹차풍미유 *스프류:참맛고추양념분말,녹차풍미유 스프류참맛고추양념분말
크림베이스[이탈리아산/덱스트로오스,크림베이스
베트남/어묵,베트남어묵
감칠맛조미분 *특정성분:스프 중 사과농측과즙(고형분함량72%)1.83%함유,감칠맛조미분 특정성분스프 중 사과농측과즙함유
우유(원유:국산),우유
 블루베리향코코넛약과(합성블루베리향첨가) 밀가루(중력분:미국, 블루베리향코코넛약과 밀가루
 잔탄검, 잔탄검
 생강농축액(생강/국산)], 생강농축액
돼지고기(안심,돼지고기
보리 2.5%(국산),보리 
레몬향)아세설팜칼륨(합성감미료),레몬향아세설팜칼륨
해물볶음베이스분말,해물볶음베이스분말
 검정깨 31.43%(중국산), 검정깨 
오색과일농축액1%[배농축액(배:국산),오색과일농축액
천일염:호주산,천일염호주산
 파프리카추출색소/한입김말이-당면(중국산, 파프리카추출색소한입김말이당면
바나나맛시럽베이스[가공버터(호주산:우유),바나나맛시럽베이스
 아질산나트륨(발색제) 프리미엄치즈소시지-돈육(국산)85.18%, 아질산나트륨 프리미엄치즈소시지돈육
1등급(세균수기준)]41%,등급
혼합탈지분유25%[네덜란드산(탈지분유,혼합탈지분유
*당면:당면(고구마전분100%:중국산)*스프류:혼합간장[산분해간장{탈지대두(수입산),당면당면스프류혼합간장
블루베리분말,블루베리분말
땅콩버터,땅콩버터
 파프리카추출물, 파프리카추출물
옥수수전분[옥수수(외국산:러시아,옥수수전분
마늘동결건조분말,마늘동결건조분말
F),F
 피로인산나트륨)), 피로인산나트륨
포도당.일반증류주①.건포도,포도당일반증류주①건포도
식물성유지Ⅰ(경화유),식물성유지Ⅰ
붉은대게엑기스,붉은대게엑기스
 소맥분5%](미국산), 소맥분
건조망고다이스7.14%[태국산:망고,건조망고다이스
어니언스파이스(중국산),어니언스파이스
로진SH(분리대두단백,로진SH
토마토페이스(중국산),토마토페이스
혼합양념(고추가루6.23%(중국산),혼합양념
돼지고기42.59%(국내산),돼지고기
발아현미,발아현미
쇠고기추출액,쇠고기추출액
치킨엑기스D2내0.62%(고형분함량60%)(배합기준),치킨엑기스D내
원유17%(국산),원유
무가루,무가루
된장1.908%,된장
 유기농엿기름(유기농보리100%, 유기농엿기름
국산)13.25%,국산
홍차엽(스리랑카산)]24%,홍차엽
고형분40%),고형분
복합염지제-MB[대두단백분말[대두],복합염지제MB
감자전분1%,감자전분
정향],정향
혼합제제(글루콘산칼슘,혼합제제
 무농약 시금치8%, 무농약 시금치
원유),원유
콩(대두:국산)/녹차유과:조청(옥수수가루,콩녹차유과조청
 쇠고기(국내산) : 7.81%, 쇠고기  
팜유],팜유
합성착향료(요구르트향)],합성착향료
 팜유조미분말, 팜유조미분말
농축사과과즙5.03%(중국산,농축사과과즙
농축사과과즙(당도72Brix˚이상,농축사과과즙
 건새우(새우)}, 건새우
카라멜색소)9.21%,카라멜색소
효소제)유화제,효소제유화제
식염25%)1.02%,식염
 향신료, 향신료
옥수수 57%(브라질산),옥수수 
 홍삼분말(국산)7%, 홍삼분말
세븐베리농축액,세븐베리농축액
검정콩,검정콩
볶음들깨가루,볶음들깨가루
숯불갈비맛베이스3.25%(대두,숯불갈비맛베이스
유자분말[덱스트린,유자분말
유기농 딸기잼22%[유기농가당딸기홀77.5%{유기농딸기80%(국산),유기농 딸기잼
사골5%(호주산),사골
쌀미강추출물] *사골우거지국밥 밑국물(20g):사골농축액(호주산)[사골추출물(고형분52%,쌀미강추출물 사골우거지국밥 밑국물사골농축액
혼합제제2[치자황색소,혼합제제
불소스[물엿{옥수수전분(옥수수:수입산)},불소스
감자떡가루[타피오카전분(수입산),감자떡가루
옥배유[옥수수씨눈:외국산(미국,옥배유
코치닐추출색소-엔(코치닐추출색소,코치닐추출색소엔
 이형유엘, 이형유엘
마늘엑기스2.52%(마늘55%/국산),마늘엑기스
L-글루타민산나트륨(향미증진제)0.8%,L글루타민산나트륨
 돼지고기), 돼지고기
월계수분말,월계수분말
벌꿀(국내산)0.2%,벌꿀
백포도과즙농축액(백포도과즙으로5%,백포도과즙농축액
난황액(계란/국산),난황액
락색소-에이(천연색소),락색소에이
중국)/어육,중국어육
현미누룽지분말,현미누룽지분말
버터(유크림:국산),버터
*면:소맥분(밀:미국산,면소맥분
비타민미네랄혼합분말[제이인산칼슘,비타민미네랄혼합분말
찹쌀(국산)65%,찹쌀
야자경화유5.5%(인도네시아산,야자경화유
말레이시아등) 프리페이드불펫,말레이시아등 프리페이드불펫
아몬드페이스트0.15%(미국산),아몬드페이스트
콘베리게이트[미강유(태국산),콘베리게이트
 우마미조미액, 우마미조미액
 발효식초[맥아엑기스(80Brix 기준, 발효식초
미네랄농축액,미네랄농축액
다시마엑기스(5'-리보뉴클레오티드이나트륨/향미증진제),다시마엑기스
돼지고기11.44%(국산),돼지고기
레몬농축쥬스,레몬농축쥬스
수수 미나리낙지볶음(26.15%)-낙지42%(베트남산),수수 미나리낙지볶음낙지
폴리글리시톨시럽,폴리글리시톨시럽
 배터믹스SA(전분믹스G, 배터믹스SA
카르복시메틴셀룰로오스나트륨,카르복시메틴셀룰로오스나트륨
애호박(국산)5%,애호박
훈제오리시즈닝S{유청분말[훼이파우더:폴란드산],훈제오리시즈닝S유청분말
가공버터[호주산:버터지방,가공버터
양조식초{주정,양조식초주정
치자단무지,치자단무지
 파래(국내산) 1.28%}, 파래 
경화코코넛오일,경화코코넛오일
닭고기17.69%(국산),닭고기
게향0.63%(합성향료),게향
흑마늘농축액0.2%[흑마늘엑기스(국산)고형분15%],흑마늘농축액고형분
피로인산나트륨)시즈닝조미액,피로인산나트륨시즈닝조미액
 감귤분말(감귤 100%, 감귤분말
북어(러시아산),북어
건지황,건지황
느타리버섯,느타리버섯
갈릭데리야끼소스14.83%[백설탕,갈릭데리야끼소스
현미(국내산) 82%,현미 
 효모제제, 효모제제
 명태육수베이스[명태중골(원양산)66.4%]2.1%, 명태육수베이스
매운맛베이스,매운맛베이스
유기농현미(국내산)98.35%,유기농현미
현미배양영지버서균사체),현미배양영지버서균사체
통귀리연근샐러드믹스(170g)-깐메추리알[메추리알99.5%(국산),통귀리연근샐러드믹스깐메추리알
코코아매스11.5%(스페인산)],코코아매스
파라다이스넛 추출분말(독일,파라다이스넛 추출분말
영양강화밀가루[밀가루(밀:미국산),영양강화밀가루
콩과당[콩앙금(강낭콩/외국산)],콩과당
돼지고기75.43%(국산,돼지고기
닭고기37.64%(국내산),닭고기
골드파인애플다이스19%(코스타리카산),골드파인애플다이스
존쿡델리미트씨즈닝에쓰-2(레몬골드5.56%)0.95%,존쿡델리미트씨즈닝에쓰
할라페노고추8%(멕시코산:할라페노고추60%,할라페노고추
쌀풀(국산),쌀풀
 돼지고기(국내산/뒷다리살75%, 돼지고기
바질가루0.04%,바질가루
스프플레이버,스프플레이버
 야채믹스B(중국산:양파, 야채믹스B
탄산칼륨)12.5%,탄산칼륨
냉동연육81.39%(수입살/어육살,냉동연육
 야채짬뽕베이스, 야채짬뽕베이스
 영양강화제, 영양강화제
산도조절제]},산도조절제
치즈향오일[합성착향료(치즈향),치즈향오일
밀크맛분말[유크림(국산),밀크맛분말
검은쌀10%(국산),검은쌀
 후렌치후라이드아몬드 15% [아몬드(미국산) 97.8%, 후렌치후라이드아몬드   
 미국 하와이산, 미국 하와이산
타마란드검),타마란드검
생감자(호주산),생감자
고추가루(중국산)3%,고추가루
무설탕초콜렛(우유),무설탕초콜렛
냉동연육53.98%(수입산/어육,냉동연육
옥수수(수입산)68%,옥수수
소르비톨액0.7,소르비톨액
 무나물-무, 무나물무
돼지고기18.23%(국산),돼지고기
