기존,전처리
바베큐시즈닝[대두],바베큐시즈닝
통팥앙금[팥(중국산)42.1%,통팥앙금
참깨,참깨
 식물성유지{외국산(베트남, 식물성유지외국산
돼지고기(국산)73.28%,돼지고기
 가쓰오소스, 가쓰오소스
코코아매스)2%,코코아매스
가공유장분[가공유장분(농축유청액/국산,가공유장분
현미56.31%(유기농,현미
삶은돼지막창85%(돼지고기:미국산),삶은돼지막창
구운캐슈너트24%[캐슈너트(외국산:인도,구운캐슈너트
DL-α-토코페롤},DLα토코페롤
찹쌀풀(찹쌀가루15%,찹쌀풀
난황분(계란)],난황분
 난황분말{난황액(계란/국산)}, 난황분말난황액
식용유5%,식용유
마아가린[식물성유지(팜유:말레이시아산,마아가린
이탈리안치즈조미분(생미분,이탈리안치즈조미분
유기농김(국산)67%,유기농김
고춧가루0.3%(국산),고춧가루
대두유(대두/외국산:아르헨티나,대두유
사과농축액 0.1%(사과:국산),사과농축액 
글루코스산화효소),글루코스산화효소
닭고기(정육)100%(국산),닭고기
찰옥수수(국산)99.95%,찰옥수수
쌀밥(쌀:국산),쌀밥
D도코페롤(혼합형),D도코페롤
닭고기(수입산40%,닭고기
합성향료(현미향),합성향료
연잎(국산/무농약)13.90%,연잎
고구마89.33%(고창군),고구마
바닐라추출액,바닐라추출액
코코아분말10%(싱가포르산),코코아분말
 비타민B12), 비타민B
 냉면용프리믹스[타피오카전분(태국산), 냉면용프리믹스
 브라질산 29%, 브라질산 
압찰올리브유(스페인산)10%,압찰올리브유
쇼트닝[식물성유지{팜올레인유(말레이시아산),쇼트닝
셍폴100(럼원액,셍폴
 레몬청징농축액(레몬과즙0.3%, 레몬청징농축액
닭고기38.24%(국산),닭고기
대파(국내산)30%,대파
밀락골드,밀락골드
엔피에스[정제염95%,엔피에스
 베이킹파우더(합성팽창제 / 탄산수소나트륨, 베이킹파우더
닭고기(기계발골육)12.68%(국산),닭고기
사과농축과즙1.5%(국산,사과농축과즙
샘표진간장덕용,샘표진간장덕용
쇼트닝[식물성유지(팜유:말레이시아산)],쇼트닝
미국산)}60%,미국산
코코아분말0.3%,코코아분말
말티톨시럽18%,말티톨시럽
전분{옥수수:외국산(세르비아,전분옥수수외국산
분말카라멜2호,분말카라멜호
폴리인산염(산도조절제),폴리인산염
배추새싹(국산),배추새싹
"스모크오일
⑤고추맛소시지:돼지고기(국내산)73.73%","스모크오일
⑤고추맛소시지돼지고기"
 마늘], 마늘
]혼합제제[밀가루,혼합제제
채소상탕[무(국산),채소상탕
블루베리주스농축액2.37%(블루베리100%:미국산),블루베리주스농축액
당근2.68%(국산),당근
전란액(계란)],전란액
 현미, 현미
쇼트닝(가공유지,쇼트닝
우사태(호주산)5%,우사태
밀가루(호주,밀가루
 합성향료(팥향), 합성향료
닭고기74.7%(닭다리100%)(브라질산),닭고기
산삼배양근추출액(고형분1%)4.0,산삼배양근추출액
제이골드스트링치즈43.37%[반경성치즈(모짜렐라치즈)93%(외국산),제이골드스트링치즈
현미농축액9%(고형분1%이상,현미농축액
액시드-c(산도조절제,액시드c
 유청분말(40%탈염)}, 유청분말
마늘농축액0.16%(프랑스산)(마늘추출물67%)],마늘농축액
 고형분65%), 고형분
우골농축액(사골:몽골산),우골농축액
카레분말S{터메릭분말(인도산),카레분말S터메릭분말
파프리카1.29%(국산),파프리카
포테이토플러스[감자전분/외국산(체코,포테이토플러스
더블다이스드크랜베리(미국산),더블다이스드크랜베리
난백백분말,난백백분말
닭가슴살(국산)82.46%,닭가슴살
쌀가루(쌀/국산)건포도,쌀가루건포도
너트맥,너트맥
프로크림K[물엿,프로크림K
 전골용베이스{굴추출농축액, 전골용베이스굴추출농축액
딸기42%(미국산),딸기
조미씨즈닝DS-10,조미씨즈닝DS
토코페롤(혼합형)·감자(미국산)83.3%,토코페롤감자
고추장소스,고추장소스
소갈비살(호주산)60%,소갈비살
 밀크칼슘(우유), 밀크칼슘
볶음춘장6.5%(춘장,볶음춘장
사과식초{농축사과과즙(사과:중국산),사과식초농축사과과즙
콩(대두)/백련초유과:조청(옥수수가루,콩백련초유과조청
 고추가루(국내산50 %, 고추가루
칡즙[고형분8.5%,칡즙
바지락농축액P,바지락농축액P
다시마12.9%,다시마
건조효모(폴리아민 함유),건조효모
건조크랜베리바이츠{크랜베리(미국산)69%}3%,건조크랜베리바이츠크랜베리
한우전각100%,한우전각
 천연바닐라추출물 0.01%] 16.02%, 천연바닐라추출물  
 액젓[멸치(국산), 액젓
귤피(국산),귤피
사과청정농축액,사과청정농축액
고추소스42%[(D-소르비톨액,고추소스
돼지고기(국내산)93.5%,돼지고기
바타민E혼합제제0.0027%(dl-α-토코페릴아세테이트,바타민E혼합제제
마늘분말(마늘:국산),마늘분말
강황100%(인도산),강황
전분(독일산,전분
밀,밀
고형분65%,고형분
연어98%(칠레산),연어
 통밀 25%, 통밀 
포도과즙14%),포도과즙
덱스트린11%)},덱스트린
 황태채(명태:러시아산) 2.5%, 황태채 
해조칼슘(영국산),해조칼슘
난백분(계란)},난백분
블랙쿠키칩(밀가루(밀;미국산,블랙쿠키칩
조미참치분말,조미참치분말
 글리세린지방산에스테르, 글리세린지방산에스테르
무농약우엉100%(국산),무농약우엉
합성착향료(믹스후르츠향,합성착향료
고추장 38%[발효곡물{소맥분(밀:미국산,고추장 
수크랄로스(감미료)],수크랄로스
배즙,배즙
메주가루4.5%<대두(국내산)99.75%,메주가루대두
미더덕3.9%,미더덕
볶음아몬드분태,볶음아몬드분태
 합성향료(딸기향, 합성향료
돈지방50%)16.54%,돈지방
 이탈리아산), 이탈리아산
요구르트향(합성착향료),요구르트향
복숭아농축과즙0.9%(복숭아과즙으로8.74%,복숭아농축과즙
 환원철), 환원철
 초콜릿 7.5%(싱가포르산)[코코아매스44.3%, 초콜릿 
볶은현미(국산)10%)],볶은현미
 혼합전지분유[네덜란드산:전지분유 우유단백질, 혼합전지분유
산도조절제 *스프중 건조해물함량90%이상 함유{건오징어4.9%(국산2.5%,산도조절제 스프중 건조해물함량이상 함유건오징어
동물성유지(호주산)),동물성유지
클로로필*녹차분말02%,클로로필녹차분말
한우,한우
혼합제제{레몬향-대두유,혼합제제레몬향대두유
멸치추출액1.5%{멸치농축액62.35%(고형분함량22%/멸치:국산)},멸치추출액멸치농축액
돼지고기정육22.88%,돼지고기정육
동결건조유자분말,동결건조유자분말
드링크향(합성착향료),드링크향
기꼬만간장(미국산),기꼬만간장
유장밀(우유),유장밀
조미멸치분말(멸치:국산),조미멸치분말
냉동연육81.39%(수입산/어육살,냉동연육
제이씨엔원,제이씨엔원
백설탕](우유),백설탕
동치미엑기스[동치미농축액(무:국내산),동치미엑기스
 쌀발효증류주(쌀:국산), 쌀발효증류주
 양파12.05%(국내산), 양파
바이오파우더,바이오파우더
삽주(국산),삽주
무뼈닭발84.3%[외국산(덴마크,무뼈닭발
태국산),태국산
무12.3%(국내산),무
초코락42%[판초코에이(준초콜릿)75.23%[백설탕,초코락
물엿(옥분)/현미와멸치:현미(국산)65%,물엿현미와멸치현미
프리페어드에디블펫],프리페어드에디블펫
흑미찹쌀-국산),흑미찹쌀국산
효소제1,효소제
혼합제제Ⅰ(이소말트,혼합제제Ⅰ
삼채6.7%(국산:지리산),삼채
탈피들깨가루,탈피들깨가루
쌀배아,쌀배아
스파게티소스시즈닝믹스-WS{변성전분,스파게티소스시즈닝믹스WS변성전분
 합성향료(그릴향), 합성향료
옐로우칼라(말토덱스트린,옐로우칼라
전분Ⅰ(리투아니아산),전분Ⅰ
조미복합분말#281,조미복합분말
다시맛조미분말,다시맛조미분말
조청,조청
절임배추67.15%[배추98.00%(국산),절임배추
콘밀(옥수수;프랑스산 50%,콘밀
찹쌀분말0.3%,찹쌀분말
감초씨즈닝분말,감초씨즈닝분말
수입산/우유),수입산우유
황물엿},황물엿
씨즈닝파우다,씨즈닝파우다
혼합제제},혼합제제
효모추출분말},효모추출분말
분말비프향료,분말비프향료
 천일염1%, 천일염
페루,페루
당류가공품A,당류가공품A
감칠맛베이스-1(정제염:국내산),감칠맛베이스
쇼트닝Ⅱ(팜부분경화유),쇼트닝Ⅱ
겨자분0.4%(캐나다산),겨자분
 엿기름(국산)4%)) 15% 쌀(국산)8% 백년초분말(국산)2% 대두 유(수입산)4%, 엿기름  쌀 백년초분말 대두 유
초코크림땅콩분말,초코크림땅콩분말
유화제]17.21%,유화제
유청분말(독일산),유청분말
 혼합제제(탄산수소나트륨, 혼합제제
두유액(대두고형분7%이상)80%[대두:외국산(미국,두유액
미담다시마장(건조다시마추출액,미담다시마장
파슬리0.04%,파슬리
묵은지{절임배추[배추(국산),묵은지절임배추
아니스분말,아니스분말
정제염0.81%,정제염
단호박퓨레,단호박퓨레
 α-아밀라아제(비세균성)}], α아밀라아제
구연산) *딸기(생물기준) 1% 함유,구연산 딸기  함유
클로렐라원말,클로렐라원말
코코아매스2,코코아매스
추추출물,추추출물
 사과과즙 0.6%(72Brix, 사과과즙 
포도농축액(포도과즙으로10%),포도농축액
표고버섯엑기스농축액,표고버섯엑기스농축액
 베베치즈[락토원, 베베치즈
앞다리)33.4%,앞다리
 구운캐슈넛15%[캐슈넛(인도산)100%], 구운캐슈넛
돼지고기53.66%(국산),돼지고기
양배추분말(국산)1%,양배추분말
불고기양념,불고기양념
고춧가루(국내산/무농약)3.1%,고춧가루
규소수지)백설탕,규소수지백설탕
야채15.42%[당근6.0%(국산),야채
농축간장(탈지대두(대두),농축간장
가지9.57%(국산),가지
호주산19.2%),호주산
파라옥시안식향산에틸(합성보존료),파라옥시안식향산에틸
코코아매스(14.66%,코코아매스
*부드럽고 쫄깃한 국수사리 : 쌀가루[쌀(미국산75%,부드럽고 쫄깃한 국수사리  쌀가루
농축유청단백,농축유청단백
산도조절제[믹스스파이스-디엠에스(밀,산도조절제
코코아매스(가나산:코코아빈)],코코아매스
유화제)안나토에스와이(수용성안나토[합성착색료],유화제안나토에스와이
배향),배향
매콤치킨맛시즈닝,매콤치킨맛시즈닝
※밥친구 야채 - 밥친구믹스[맛있는과립(정제소금:국산),밥친구 야채  밥친구믹스
호밀분말,호밀분말
복합스파이스케이에프[소르빈산칼륨(합성보존료),복합스파이스케이에프
표고버섯균사체배양물(고형분2%,표고버섯균사체배양물
유청분말(정제소금 혼합제제(식물성유지)유화제(대두)아스코르빌파르미테이(산화방지제)혼합제제(옥수수전분유화제,유청분말유화제아스코르빌파르미테이혼합제제
 에틸셀룰로오스, 에틸셀룰로오스
정제소금(국산)*동결건조파:파97%,정제소금동결건조파파
 네이쳐소스{홈스타일비네거후레바(미국산), 네이쳐소스홈스타일비네거후레바
콘글루텐(옥수수:수입산)/대두],콘글루텐대두
돼지고기52.0%(국내산),돼지고기
쿨링향)),쿨링향
소고기엑기스페이스트,소고기엑기스페이스트
혼합양념(중국산)[고춧가루6.12%,혼합양념
 사과퓨레[사과(국산) 99.95%, 사과퓨레 
오트 푸레이크,오트 푸레이크
커피14.5%(수입산),커피
L-글루타민산나트륨제제[향미증진제(L-글루타민산나트륨,L글루타민산나트륨제제
흑후추100%(귀국산/베트남,흑후추
야자유:인도네시아산),야자유인도네시아산
초코칩18.51%(벨기에산,초코칩
고추맛기름,고추맛기름
사과청징농축액(사과:국산)1%,사과청징농축액
유자과즙분말8.0%[유자과즙(국산,유자과즙분말
코치닐색소,코치닐색소
고추씨기름파우다,고추씨기름파우다
복합조미식품[콘포타쥬맛시즈닝M(무수포도당,복합조미식품
화인빵용가루1(밀:미국산,화인빵용가루
 합성착향료(커피향, 합성착향료
식물성유지유당유화제(대두)천연착향료(바닐라),식물성유지유당유화제천연착향료
청귤착즙액(고형분5%,청귤착즙액
후추0.3%,후추
 치킨씨즈닝분말, 치킨씨즈닝분말
지미분,지미분
건미역조미오징어분말3.2%(오징어/국산),건미역조미오징어분말
당침유자{유자(국산)50%,당침유자유자
마요네즈38%[대두유(콩:외국산/미국,마요네즈
얼갈이배추66%(국산),얼갈이배추
큐어믹스-4(폴리인산나트륨,큐어믹스
케이준시즈닝21.68%,케이준시즈닝
 유기분당10.22%, 유기분당
콩나물엑기스분말,콩나물엑기스분말
소다칩,소다칩
구운김가루],구운김가루
초콜릿(대두),초콜릿
감미유S(대두),감미유S
혼합제제(폴리인산나트륨,혼합제제
육개장다대기(우유,육개장다대기
차아황산나트륨(표백제)}물엿,차아황산나트륨물엿
멥쌀99.9%(삼광,멥쌀
닭가슴살(국산)87.97%,닭가슴살
생마늘농축액(마늘:국산),생마늘농축액
떡갈비양념장,떡갈비양념장
사골엑기스A,사골엑기스A
크림치즈6.55%(뉴질랜드산/원유,크림치즈
로거스트콩검,로거스트콩검
키토산올리고당분말,키토산올리고당분말
에리포르빈산나트륨(산화방지제),에리포르빈산나트륨
고춧가루2,고춧가루
백후추2%,백후추
"잔탄검
풍성한어묵탕 건더기스프 - 볶은미역[구운미역칩(건미역/국내산)","잔탄검
풍성한어묵탕 건더기스프  볶은미역"
"채종유(캐나다)
[구운유과] 찹쌀(국산)","채종유
"
에티오피아 등),에티오피아 등
혼합제제등 *스프류-정제염,혼합제제등 스프류정제염
3.9%,
돼지뒷다리살,돼지뒷다리살
 양배추(국산)8.27%, 양배추
혼합간장[탈지대두(외국산/인도,혼합간장
미국 등)},미국 등
아몬드액92%(아몬드고형분4%이상,아몬드액
옥수수(믹국산)54%,옥수수
블루베리(미국산),블루베리
야자부분경화유(수입산),야자부분경화유
무농약현미(국내산)56%,무농약현미
식염2%(국산),식염
블랙커런트4.8%(헝가리산),블랙커런트
혼합제제{혼합제제(말토덱스트린,혼합제제혼합제제
 제심인산칼슘), 제심인산칼슘
캐나다산)],캐나다산
유기현미(국산)3.0%,유기현미
청피망2.70%,청피망
탈지분유3%(국산),탈지분유
잡채베이스,잡채베이스
수수(무농약),수수
적양배추-국내산),적양배추국내산
혼합제제해조칼슘,혼합제제해조칼슘
난황액(계란:국내산),난황액
 건대파후레이크, 건대파후레이크
모짜렐라치즈19.23%(미국산:살균우유,모짜렐라치즈
적포도청징농축액(적포도과즙40%,적포도청징농축액
 식물성분해단백-1, 식물성분해단백
모짜렐라치즈7.25%(수입산/우유,모짜렐라치즈
망고과즙0.58%,망고과즙
에리스리톨,에리스리톨
 홍삼성분70mg/g이상, 홍삼성분mgg이상
혼합야채분,혼합야채분
발효간장베이스,발효간장베이스
대파(국내산100%)0.15%,대파
돼지고기(수입산,돼지고기
대추,대추
난백분말(계란:프랑스산),난백분말
정제염/스프-된장(소맥분,정제염스프된장
식용유[대두유(대두:외국산:미국,식용유
갈비살9.53%),갈비살
고추(국내산:100%),고추
천일염(국내산)8%,천일염
비프후랑코시즈닝,비프후랑코시즈닝
가공유지{팜핵경화에스테르화유(말레이시아산),가공유지팜핵경화에스테르화유
연성가공치즈3.85%[자연치즈62%,연성가공치즈
쇼트닝1[가공유지(팜스테아린에스테르화유,쇼트닝
 옥수수(국산)12%, 옥수수
가공버터(호주산),가공버터
유기농엿기름추출액[유기농엿기름2.83%(유기농겉보리100%:국내산)/고형분14.6%]13.46%,유기농엿기름추출액고형분
유기농쌀가루(쌀:국산)16.3%,유기농쌀가루
 소브산칼륨(보존료)], 소브산칼륨
혼합간장2[탈지대두(외국산),혼합간장
우유20%(국내산),우유
유산균주(유산균2500억이상/450g),유산균주
와사비분,와사비분
 바나나(필리핀산)7.9%, 바나나
신불베이스(대두,신불베이스
천일염(중국산)>,천일염
홍합0.05%(국산)},홍합
바닐라빈,바닐라빈
오돌뼈83.7%(돈육63.7%,오돌뼈
매실퓨레 5.5%(매실:국산),매실퓨레 
숙주,숙주
 올리브유8%(스페인산외), 올리브유
 유기농사과농축과즙2%(과즙으로 13% : 터키산), 유기농사과농축과즙
유당95[유당(우유),유당
우스타씨즈닝분말,우스타씨즈닝분말
 제2인산칼륨, 제인산칼륨
천연바닐라추출액,천연바닐라추출액
미분염(국산)]0.1%,미분염
 요구르트분말 2.73%, 요구르트분말 
 아몬드슬라이스(미국산), 아몬드슬라이스
마카다미아(호주)9.9%,마카다미아
 양파(국내산, 양파
전지분유(국내산)6%,전지분유
옵타민트향),옵타민트향
 구연산(산도조절제) *소스-고과당, 구연산 소스고과당
아미노산믹스-9(영양강화제),아미노산믹스
복합스파이스HS-4(향미증진제,복합스파이스HS
강황분,강황분
홍합짬뽕베이스,홍합짬뽕베이스
후추풍미료(물엿분말,후추풍미료
농축유단백(우유),농축유단백
유기찹쌀2.0%(국산),유기찹쌀
마라맛씨즈닝[아스파탐(감미료,마라맛씨즈닝
난황액(난황(계란:국산),난황액
참기름1.3%,참기름
타피오카전분),타피오카전분
(토마토),
 블랙올리브슬라이스, 블랙올리브슬라이스
파인애플청크5.3%,파인애플청크
야지유)],야지유
소맥전분(수입산),소맥전분
 바닐린], 바닐린
lgY 난황액(계란)0.2%,lgY 난황액
복합조미품[다시다]2%,복합조미품
유자청2%{유자50%(국내산)}],유자청유자
호박산이나트륨0.07%,호박산이나트륨
김 50%(국산 100%),김 
쌀98%(외국산),쌀
두유6.17%[두유액95%(대두고형분7%이상,두유
표고버섯분말],표고버섯분말
핑거루트(인도네시아산)100%,핑거루트
혼합제제3(효모추출물,혼합제제
 에리소르빈산나트륨(산화방지제), 에리소르빈산나트륨
 야자에스테르화유(인도네시아산), 야자에스테르화유
D-카실로스,D카실로스
비타민B2 *인스턴트건조이스트:건조효모,비타민B 인스턴트건조이스트건조효모
파인애플(태국산/파인애플,파인애플
해바라기씨유0.5%},해바라기씨유
루이보스100%(남아프리카공화국산),루이보스
이스라엘산50%),이스라엘산
천일염:호주산),천일염호주산
우렁8%(국산),우렁
포도농축액27%(포도:이탈리아산),포도농축액
유기농아가베시럼100%(멕시코산),유기농아가베시럼
호박산이나트륨],호박산이나트륨
멸치70%,멸치
돈지방2.69%(국산)],돈지방
 *쇠고기미역국밥건더기스프:볶은미역[건미역(국산), 쇠고기미역국밥건더기스프볶은미역
조미비프맛추출액,조미비프맛추출액
쿠바)16.82%,쿠바
참맛고추장,참맛고추장
고추장 83.4%{고과당,고추장 고과당
 유기농설탕 6.45%, 유기농설탕 
커피추출물18.6%,커피추출물
팽창제[탄산수소나트륨,팽창제
해초류(톳62%,해초류
 결명자, 결명자
 건다시마., 건다시마
난백액(계란),난백액
오징어90.17%(페루),오징어
 유기농찰수수(국내산)0.8%, 유기농찰수수
딸기분말(국내산),딸기분말
메추리알98%(국산),메추리알
홍합농축분말,홍합농축분말
쇼트닝(돈지),쇼트닝
 우리밀 밀가루, 우리밀 밀가루
난황분말(계란),난황분말
건단호박3.53%,건단호박
건조효모,건조효모
세르비아)],세르비아
 당면 7.23 %(고구마전분), 당면  
 당면[고구마전분, 당면
현미귀리퀴노아혼합분말[현미(국산),현미귀리퀴노아혼합분말
밀가루32.44%[밀:외국산(미국,밀가루
멀티그레인 크리스피,멀티그레인 크리스피
쌀발효액3.41%{쌀가루36.38%(쌀/국산)},쌀발효액쌀가루
청양고추2.00%(국내산),청양고추
초코맛분말,초코맛분말
돼지고기46.93%(국산),돼지고기
가공버터(뉴질랜드산)[유지방(우유),가공버터
양파3.33%(국내산),양파
표고버섯농축액(표고버섯:국산),표고버섯농축액
간장(대두(수입산),간장
 바나나과즙농축분말[바나나과즙농축액(필리핀산, 바나나과즙농축분말
 식육추출가공품[닭고기69%(미국산)4%, 식육추출가공품
오렌지과즙농축액(오렌지과즙으로 100%,오렌지과즙농축액
사과식초(농축과즙,사과식초
 조미건조홍고추링. {소맥분(밀), 조미건조홍고추링 소맥분
돼지고기72.45%(국내산),돼지고기
비프엑기스분말[탈지대두(외국산)],비프엑기스분말
 청양고추(국내산)0.94%, 청양고추
합성착향료(꼬냑향,합성착향료
 콜린 11.4mg, 콜린 mg
 고추맛액, 고추맛액
다진생강,다진생강
꿀8%]21.3%,꿀
마늘분말:중국산)},마늘분말중국산
포스파티딜콜린,포스파티딜콜린
국내산닭가슴살70%,국내산닭가슴살
카르복시메틸셀룰로오스나트륨)],카르복시메틸셀룰로오스나트륨
겨자분(겨자-캐나다산),겨자분
밀)[소뼈(뉴질랜드산),밀
 북어해장국밥건더기스프:볶은북어[구운북어칩(북어:러시아산), 북어해장국밥건더기스프볶은북어
메이져킹[돼지고기(지방이룹사용,메이져킹
콜롬비아산30%)1.4%,콜롬비아산
합성착향료(그래이프후르츠향),합성착향료
 곡물주정, 곡물주정
 비타민B2, 비타민B
소갈비(수입산)18%,소갈비
우골설렁탕분말,우골설렁탕분말
 패션프루트농축액, 패션프루트농축액
다시마정미추출분말,다시마정미추출분말
대두유[대두유:대두,대두유
카스테라고물(노랑)[소맥분(밀),카스테라고물
 정백당 50%] 23%, 정백당  
사과농축과즙5.76%(국산),사과농축과즙
 {오렌지농축액(이스라엘산), 오렌지농축액
혼합메밀가루20.7%(중국산/메밀가루89%,혼합메밀가루
녹차풍미유 *스프류: 백설탕,녹차풍미유 스프류 백설탕
 수산화칼슘(응고제), 수산화칼슘
버터[유크림100%(우유:국산),버터
 합성착향료(알로에향), 합성착향료
닭가슴살84.8%(국내산),닭가슴살
홍화항색소],홍화항색소
우엉,우엉
매콤해물맛풍미유,매콤해물맛풍미유
입힘땅콩(중국산;땅콩,입힘땅콩
대창1.5%(호주산),대창
마아가린{식물성유지(말레이시아산),마아가린식물성유지
 매운맛염지제, 매운맛염지제
해물재소분말,해물재소분말
엘로빙초코,엘로빙초코
돼지등갈비(뼈포함,돼지등갈비
 요거트분말[백설탕, 요거트분말
엠원씨즈닝[L-글루탐산나트륨(향미증진제),엠원씨즈닝
게엑기스-디3.3%[게엑기스13.8{게97.5%(연근해산),게엑기스디
보로나시즈닝,보로나시즈닝
팥앙금26%,팥앙금
 볶은 커피 5%](콜롬비아산 40.8%, 볶은 커피 
귀리(캐나다산)14.53%,귀리
 말토덱스트린) 5억 마리 이상 투입/23g당], 말토덱스트린 억 마리 이상 투입g당
페퍼민트100%(독일산),페퍼민트
내장제거멸치(국산),내장제거멸치
 타임, 타임
닭가슴살(국내산):60%,닭가슴살
 비타민B1염산염}, 비타민B염산염
파인애플(필리핀산),파인애플
유청(우유,유청
 그레이티드파마산치즈(그레이티드파마산치즈(수입산) 98%) 23.25%, 그레이티드파마산치즈  
쇠고기맛국물내기엔엠(돼지고기),쇠고기맛국물내기엔엠
발효대두추출혼합분말(케이투오일P-1000),발효대두추출혼합분말
크랜베리(미국산),크랜베리
리투아니아,리투아니아
 탄산암모늄, 탄산암모늄
에틸셀룰로오스,에틸셀룰로오스
 세르비아 등)}, 세르비아 등
 베베된장[락토원, 베베된장
싱가포르));전지분유,싱가포르전지분유
식물성유지(코코넛유),식물성유지
자당지방산에스테르,자당지방산에스테르
쇠고기분말(호주산)},쇠고기분말
 믹스빈스샐러드-그린, 믹스빈스샐러드그린
청포도농축과즙8%(미국산),청포도농축과즙
탈지분유(우유)],탈지분유
 멸치엑기스에이, 멸치엑기스에이
사과시럽12.5%(사과과즙으로38%)[정백당,사과시럽
건양파분말,건양파분말
호화현미가루(현미:국산),호화현미가루
미국,미국
스테비올배당체(스테비오사이드혼합분말,스테비올배당체
유기농콘푸레이크 63.02%(유기농옥수수 99%,유기농콘푸레이크 
현미(국산) 20.31%,현미 
 초계엑기스-P, 초계엑기스P
 올레오레진로즈메리], 올레오레진로즈메리
새우풍미유,새우풍미유
루랑크소시지[닭고기,루랑크소시지
유기찹쌀(국산)42%,유기찹쌀
L-글루타민산나트륨(향미증진제) *어묵탕용액상소스3-정제수,L글루타민산나트륨 어묵탕용액상소스정제수
체다다이스치즈3.57%,체다다이스치즈
혼합곡물발효효소(국내산),혼합곡물발효효소
 마아가린[동물성유지(호주산), 마아가린
건조효모(나이아신,건조효모
 부추11.66%, 부추
식물성유지Ⅰ(외국산;아르헨티나∙미국∙베트남 등),식물성유지Ⅰ
마늘햄복합시즈닝(밀,마늘햄복합시즈닝
72Brix 기준/국산),Brix 기준국산
김치찌개맛분말,김치찌개맛분말
 합성향료(커피향), 합성향료
 헛개나무열매추출농축액[헛개나무열매(국산) 100%] 0.04%, 헛개나무열매추출농축액  
딸기농축과즙(딸기과즙으로2.5%,딸기농축과즙
연어99%(노르웨이산),연어
다시다치킨스톡,다시다치킨스톡
고추장[현미(국산),고추장
유기농백태(대두,유기농백태
 바니라오일], 바니라오일
견과류가공품(땅콩(중국산),견과류가공품
치아씨드오일,치아씨드오일
적양배추농축액(적양배추즙으로1%,적양배추농축액
닭고기(국산),닭고기
사골우거지양념{5-리보뉴클레오티드이나트륨(향미증진제)},사골우거지양념리보뉴클레오티드이나트륨
 농축유청단백[유청(우유), 농축유청단백
 탈염농축양조간장, 탈염농축양조간장
표고버섯엑기스0.2%(고형분63%),표고버섯엑기스
 쌀 10.8%(국산), 쌀 
몽고진간장(탈지대두:외국산,몽고진간장
대두분리단백,대두분리단백
요오드칼륨],요오드칼륨
비타민C 원산지:홍삼 농축액0.15%(국산),비타민C 원산지홍삼 농축액
초콜릿(미국산;백설탕,초콜릿
호주산 등 국내가공),호주산 등 국내가공
DL-알라닌),DL알라닌
스프중건마늘함량 6.00%(국산0.45%,스프중건마늘함량 
 그릴드치킨농축액9 %{치킨추출액 63.48%(닭고기:국내산, 그릴드치킨농축액 치킨추출액 
 스테아린산마그네슘, 스테아린산마그네슘
삼계닭[국내산]40%,삼계닭
 침향분말(인도네시아)5%, 침향분말
둥굴레12%(국산),둥굴레
5`-구아닐산이나트륨,구아닐산이나트륨
 전복엑기스 1%[전복효소분해액 70.59%(냉동전복 82.1%/필리핀산)], 전복엑기스 
식물성경화유지(수입산),식물성경화유지
돼지고기83.71%(국산),돼지고기
식물성경화유(싱가포르산/팜유,식물성경화유
닭가슴살90.12%(국내산),닭가슴살
 호박산2나트륨0.14%, 호박산나트륨
아스파탐(페닐알라닌 함유,아스파탐
포도 100%(포도착즙 100%,포도 
정제소금0.2%,정제소금
된장53%[대두(수입산),된장
DL주석산나트륨) 체리맛:백설탕,DL주석산나트륨 체리맛백설탕
돼지고기(국산)42.77%,돼지고기
 팜스테아린유, 팜스테아린유
 혼합전분, 혼합전분
생로얄젤리0.0952%,생로얄젤리
일반가공식품(초유단백분말,일반가공식품
실속돈까스:돼지고기(국내산)33.26%,실속돈까스돼지고기
제키스다크{백설탕,제키스다크백설탕
 딸기과즙 농축액[과즙으로 0.9%(딸기:국산) 7brix 기준], 딸기과즙 농축액 brix 기준
글리신*조미볶음-볶음참깨(외국산:인도,글리신조미볶음볶음참깨
준초콜릿[코코아프리퍼레이션(수입산;전지분유,준초콜릿
밀가57.5%(밀:호주산,밀가
유자50%,유자
녹차풍미유 스프:정제수,녹차풍미유 스프정제수
 콘밀(옥수수:프랑스산50%, 콘밀
새우살32.80%(수입산),새우살
비프인헨사(밀,비프인헨사
박력분(밀:순입산),박력분
*<야채후레이크>:동결건조파29.99%(중국산/파97%,야채후레이크동결건조파
우유응고효소},우유응고효소
치즈맛시즈닝[치즈맛시즈닝{체다치즈파우더(네덜란드산),치즈맛시즈닝
 양파(국내산), 양파
 물김치, 물김치
쌀가루(쌀:국산),쌀가루
귀리(캐나다산)],귀리
무농약퍼핑현미50%(국산),무농약퍼핑현미
사과농축액(사과:칠레산),사과농축액
 대추분말(국산)6%, 대추분말
보리가루2.3%,보리가루
동결건조딸기그래뉼0.7%,동결건조딸기그래뉼
레이49.3%{렌넷카제인,레이렌넷카제인
쇼트닝Ⅰ(팜스테아린유(말레이시아산:경화유),쇼트닝Ⅰ
사과농축과즙0.17%(국산),사과농축과즙
유기농쌀가루(국산)16.1%,유기농쌀가루
보리가루(보리:국내산),보리가루
효소처리스테비아}12%,효소처리스테비아
백포도주,백포도주
우유1.2%,우유
타마린드검,타마린드검
무농약현미(국내산)92.9%,무농약현미
 멸치엑기스분말, 멸치엑기스분말
파(중국산)2.48%,파
 물엿, 물엿
